,ns,Ts,V0s,Is_0,Is_1
46,80628415181.4042,1994.7388734297565,-1.986106697757712,-1.2995968369606106e-05,-6.187394365805727e-07
47,185127238118.05267,1173.631979507374,-1.1504457577929061,-3.905376865265003e-05,-1.5440086913516894e-06
48,56711395632.91901,1294.9028348718607,-0.6114988052996719,-1.677329019529618e-05,-5.782381197663608e-07
49,70953633669.26938,2059.3526484662693,-0.11383431796430066,-2.0329248304436695e-05,-6.730231263819923e-07
50,65022716086.08411,2406.4188118781426,-1.5613698786434633,-1.1857561484933457e-05,-5.074959037171475e-07
51,44890441363.64409,2983.9538654265766,-1.0736800775234532,-9.116133519925968e-06,-3.506248257171982e-07
52,162171423429.1321,1564.0494751241877,-1.9767309635930206,-2.576816366836521e-05,-1.2115959418492115e-06
53,98043511358.30399,2400.167759100404,-0.8599497671365921,-2.1645621945225427e-05,-8.161980855551684e-07
54,86617667932.06468,1133.7639532869484,-0.7864309426857155,-2.377290945099789e-05,-8.560858050967916e-07
55,155496312886.0052,663.3521291161813,-0.36783448092226045,-4.1733025415686484e-05,-1.519792561329822e-06
56,244515338979.67062,941.6875501139623,-1.8569945093999705,-3.8798213343544616e-05,-1.788729666041096e-06
57,40303395556.481834,1694.438823572647,-1.9743892625564892,-7.184018994792911e-06,-3.301879260765126e-07
58,76104930469.68352,2809.4236404381595,-1.7152023379312484,-1.2399443432536602e-05,-5.587383654660197e-07
59,191949730068.12604,1738.7585119440723,-0.10023929376757046,-5.008074033633363e-05,-1.705380926237421e-06
60,175340925451.7727,2292.47011816543,-1.2792772358485651,-3.270556746967328e-05,-1.3341456525151113e-06
61,236742514834.34854,2733.2219197048635,-1.938505760184214,-3.28519668303327e-05,-1.5602222353202284e-06
62,56069483139.37281,645.974650290109,-0.33557191100861394,-2.060588643404273e-05,-6.78315555402317e-07
63,81259706980.50137,2913.394126859649,-1.6297022154405654,-1.3466596792846406e-05,-5.964380776523634e-07
64,122313267399.94449,610.6789543784098,-1.2189212922747212,-2.8544560151389072e-05,-1.1590813942202723e-06
65,117895939604.71834,1418.2257918295777,-0.2401531049986112,-3.369023481192608e-05,-1.1428368686634955e-06
66,205336452066.29276,2796.8094856472303,-0.918011672167012,-3.9960709355583127e-05,-1.5468358099555577e-06
67,40026709928.297806,2618.5688161985768,-1.7009508192354794,-6.901669815196367e-06,-3.0100842245553666e-07
68,50093470640.59718,2078.7042411439697,-0.5954743880276936,-1.308579600941322e-05,-4.5509047221547777e-07
69,148742583142.19968,1499.9583853506986,-0.6092555652145251,-3.702447100132559e-05,-1.3306354879699047e-06
70,169873988827.98947,2561.439789576574,-0.8857285038738814,-3.473194196608492e-05,-1.330748344875598e-06
71,46799339855.024185,850.8555712835371,-1.3811487636657873,-1.2565502913379207e-05,-4.875025732538076e-07
72,52422337888.41426,779.4930432264242,-0.9730769622773165,-1.6011739257240258e-05,-5.768890233019669e-07
73,185935231029.15665,1629.1144728732243,-1.7890860827904504,-3.089006805538841e-05,-1.3858280118327255e-06
74,40490925234.8818,851.6998930998628,-0.04357714555050474,-1.5986659788611633e-05,-4.944764688262333e-07
75,129305755652.34023,2290.4003336488113,-1.0123467096182932,-2.698528573998056e-05,-1.047172471397659e-06
76,94931424612.55348,1714.4305869792265,-0.3809317797291747,-2.5997265880855722e-05,-8.968020531535902e-07
77,43450361628.464264,1274.533768958208,-1.5481606776670032,-9.97282872209792e-06,-4.0451597376934227e-07
78,137893460993.3689,1007.9479142925559,-0.5341854583386627,-3.711656265529261e-05,-1.3224692783491406e-06
79,184677143701.86276,2276.2395680311142,-1.2689261487684314,-3.439292458777337e-05,-1.3996637515841694e-06
80,52291733599.84942,763.5823134706795,-0.781682255827411,-1.692696613465443e-05,-5.905474164185052e-07
81,52077068836.47283,2561.6238177334926,-0.8843315743830256,-1.1695480741522632e-05,-4.333133163492928e-07
82,199006049574.951,2208.814615247341,-1.4247900882203701,-3.5187048267626794e-05,-1.4734860496960314e-06
83,44177297035.709175,1224.867259666908,-1.6069210140977601,-1.0022881181076657e-05,-4.1219538764378336e-07
84,249319603403.16602,969.1661092565043,-1.693119725828299,-4.1617004745462485e-05,-1.8508062281645466e-06
85,127746570416.38683,1236.8226046616621,-0.7462735909156126,-3.253755558508257e-05,-1.1840766825831436e-06
86,203654786157.82782,2430.869805373436,-1.445588663182573,-3.49975573101816e-05,-1.4784158962890008e-06
87,273091907916.25287,870.3963837663686,-0.20518130117301991,-6.394069622019621e-05,-2.339822220624924e-06
88,166239172700.46088,1977.5027339408907,-0.8478143733981354,-3.6401068237399e-05,-1.368990439275835e-06
89,54184154790.184525,1571.3287829368583,-1.041574322495417,-1.3532135423896206e-05,-5.035475965451476e-07
90,94639953634.71675,2335.352596227393,-1.6651049397586792,-1.6365617358178982e-05,-7.233710096186741e-07
91,280685954101.72845,830.7357611052787,-0.35932228306504466,-6.26534957815515e-05,-2.353161865866844e-06
92,66567571342.54531,977.9671950606427,-0.04919762782907333,-2.352508810911408e-05,-7.540764608868653e-07
93,145950053876.5521,2893.744580903624,-1.3192583855410083,-2.5902902393546813e-05,-1.0789475884971158e-06
94,286620078502.56604,2535.910249182646,-0.3110705844644981,-6.296238472910145e-05,-2.2329101213046168e-06
95,67949144647.06178,1549.0130968776375,-0.7710387696861241,-1.797740988717228e-05,-6.456040652288624e-07
96,94955316807.65475,1894.7592203584186,-1.2391749635355092,-2.005375169695494e-05,-7.991421223369623e-07
97,130325498112.38028,1764.4243281829993,-0.9243427354991443,-2.9595857362304338e-05,-1.1175727380078396e-06
98,170492512910.85245,2780.1136272936237,-1.4200262882073678,-2.9205863745608012e-05,-1.238141371541589e-06
99,162104077877.06046,2210.655149154797,-1.9119324749587079,-2.4695339275533953e-05,-1.1591664293023577e-06
100,157504397080.3166,1079.2608196461847,-1.288144526113632,-3.341033890658324e-05,-1.3444742430595185e-06
101,269194671093.79944,2635.6638409301127,-1.916583042399917,-3.741099180220072e-05,-1.7578224093550832e-06
102,152678888004.61234,1081.4494292762781,-0.5364443622990398,-3.982772573887723e-05,-1.4254972425881046e-06
103,237215383314.7414,2038.1553253470993,-1.9040101527270175,-3.514900297537496e-05,-1.6319445152987773e-06
