,ns,Ts,V0s,Is_0,Is_1,Is_2,Is_3,Is_4,Is_5
47,283085490020.38324,1347.5390368062829,-1.2596737925621875,-5.1829192665523436e-05,-6.102919437462356e-07,-1.0713099298557927e-06,-1.4845161025733834e-06,-2.5874853045504163e-06,-5.308679803182802e-07
48,103022967700.90344,1374.5734692589015,-1.8398895032940374,-1.887731329681344e-05,-1.6240606347872467e-07,-3.7658290547198497e-07,-5.64445585860062e-07,-1.0632622526804208e-06,-1.6236817366075622e-07
49,292574351689.6824,2497.0707093767596,-1.3431034964002915,-4.926086967732853e-05,-5.8464693758901e-07,-1.0257560571443814e-06,-1.4240226556096663e-06,-2.496151083921353e-06,-4.661736580492312e-07
50,87938424793.08313,440.71589848895144,-1.6806347007734108,-1.9553128450724233e-05,-1.7974249996576752e-07,-3.951936484096886e-07,-5.831117572965641e-07,-1.0778065227078333e-06,-1.990333011994695e-07
51,44161187071.80271,1577.0873441073254,-1.9473877258183014,-8.101117165689493e-06,-6.440358547449697e-08,-1.6074909711986e-07,-2.4399508847503935e-07,-4.629292278618726e-07,-6.321233348753904e-08
52,40793609871.78047,2529.4115871878143,-0.5051228712222895,-1.033600794659897e-05,-1.3202365932989456e-07,-1.9855271629402342e-07,-2.59620690348835e-07,-4.2493476176499113e-07,-7.538976315066714e-08
53,211103274180.0734,643.3093887281946,-1.982956394234789,-3.2770434491010925e-05,-2.7144524014453167e-07,-6.987126333652059e-07,-1.0572192175347422e-06,-1.9801988964296307e-06,-3.726046142333383e-07
54,151547981395.3609,2283.04538240514,-0.8674636683254866,-3.238884651581495e-05,-4.068812792165827e-07,-6.527440723498711e-07,-8.78585737719996e-07,-1.4931641840100757e-06,-2.7793373709461676e-07
55,199865587706.9477,894.0049754944965,-0.4868720257382766,-4.883343939751098e-05,-6.569842142420417e-07,-9.982738150170241e-07,-1.3112836736654155e-06,-2.158395366829493e-06,-5.091176600047983e-07
56,173021469552.93768,2684.1281903325257,-0.8180536715255264,-3.555931773281687e-05,-4.608481968304462e-07,-7.267484211905003e-07,-9.715262328313912e-07,-1.638668112376185e-06,-3.090870344896803e-07
57,82907475380.56718,418.6180297426528,-0.34704629071671245,-2.6836689589256396e-05,-3.572668249765846e-07,-5.396156430868545e-07,-7.074316124492564e-07,-1.163032536783742e-06,-2.736955317984946e-07
58,250392106914.12778,2684.9881449706313,-0.6840308472817618,-5.094561985987594e-05,-6.798689650325531e-07,-1.042841439926705e-06,-1.3780200190421872e-06,-2.2933895794619924e-06,-4.6226264528373483e-07
59,40201265645.54811,1504.9789829422155,-1.2735443724436475,-9.707426357327478e-06,-1.0157594390001429e-07,-1.8381709915975086e-07,-2.5771648880787517e-07,-4.5558374918586656e-07,-7.102157952402186e-08
60,58949640396.61874,1666.2193060964594,-1.5814833571920963,-1.2019018667101683e-05,-1.1778580358625844e-07,-2.3703754069870568e-07,-3.430340638854325e-07,-6.256549202073619e-07,-9.456230096730308e-08
61,252945783790.7872,642.7806365586275,-1.8308563703362617,-3.8649792593712486e-05,-3.75512952645902e-07,-8.514974414344408e-07,-1.2543531144121776e-06,-2.2912556890683594e-06,-4.650476282399696e-07
62,201349494470.96573,977.6790168794289,-0.13827707681621604,-5.279637442688396e-05,-7.400048175649803e-07,-1.073469978134659e-06,-1.3821622948448047e-06,-2.2238315614739215e-06,-5.403223784676597e-07
63,83326872497.26923,1132.852527628636,-0.6800216554357001,-2.367536732699139e-05,-2.81728304037627e-07,-4.4760753427861754e-07,-6.003143473358173e-07,-1.0163663034272737e-06,-1.9051899192158842e-07
64,113183362428.21146,2716.87895856177,-0.3060082448382717,-2.744096595064027e-05,-3.7377253819788276e-07,-5.481416604858937e-07,-7.103011047110147e-07,-1.155186171890206e-06,-2.2240123615142846e-07
65,61224129507.10227,2681.611689299758,-0.1475106199879499,-1.621014557946148e-05,-2.187847633255205e-07,-3.147104601062397e-07,-4.0379948210018126e-07,-6.475018655030388e-07,-1.2153953277377342e-07
66,49162035677.757645,2727.728492041466,-1.7625468269296534,-8.099356983178681e-06,-8.14558719213393e-08,-1.6966492011899884e-07,-2.4681710848114947e-07,-4.501160615644483e-07,-6.632461451537076e-08
